pid,birthyr,age,male1,educ,faminc,region,trump
NA,2000,18,2,2,1,4,5
6,1938,80,1,3,3,3,100
1,1952,66,2,5,2,1,0
1,1955,63,1,6,10,3,1
4,1949,69,2,2,3,2,44
3,1955,63,1,3,1,2,0
4,1951,67,2,5,2,3,99
1,1962,56,2,3,1,2,4
2,1977,41,2,2,5,3,51
7,1955,63,2,3,2,3,88
6,1953,65,1,2,4,2,100
1,1945,73,1,4,12,1,11
2,1961,57,2,3,NA,4,12
1,1980,38,1,3,7,1,2
4,1954,64,1,5,11,3,100
1,1947,71,2,6,8,4,9
7,1947,71,1,5,8,1,71
1,1948,70,2,4,5,4,0
5,1946,72,1,4,3,2,66
2,1989,29,2,4,NA,3,4
2,1970,48,2,4,3,3,3
6,1954,64,2,5,5,1,1
3,2000,18,2,3,11,3,0
7,1938,80,2,2,5,3,97
7,1963,55,2,3,NA,2,91
6,1956,62,2,2,4,4,0
7,1964,54,1,4,10,3,100
5,1958,60,1,5,9,1,98
4,1941,77,1,2,8,2,99
4,1960,58,2,3,9,3,60
7,1975,43,1,2,6,1,100
5,1954,64,1,3,8,4,94
1,1967,51,2,4,5,3,7
1,1957,61,2,3,2,2,0
1,1941,77,2,5,5,4,2
2,1965,53,2,5,NA,1,0
1,1957,61,2,3,6,1,1
2,1961,57,2,2,6,4,0
4,1936,82,1,3,4,3,44
1,1949,69,2,3,6,1,2
6,1990,28,1,5,NA,1,55
5,1942,76,1,3,6,3,99
2,1965,53,1,3,5,4,0
3,1983,35,1,2,5,1,38
3,1978,40,1,5,11,4,44
NA,1984,34,2,2,1,2,100
4,1961,57,1,1,2,3,100
2,1984,34,1,5,4,1,1
7,1962,56,1,4,10,2,74
3,1977,41,2,6,11,4,1
1,1966,52,2,5,5,1,1
3,1973,45,1,5,6,3,3
1,1965,53,2,4,6,2,1
3,1956,62,1,5,9,1,40
5,1980,38,1,4,NA,3,70
3,1966,52,2,3,16,4,2
7,1957,61,2,4,12,3,100
5,1948,70,1,4,5,2,95
4,1988,30,1,6,NA,1,0
1,1955,63,1,6,13,1,0
2,1956,62,2,4,5,1,61
7,1939,79,2,2,2,2,100
7,1956,62,1,6,6,3,91
5,1957,61,1,6,11,4,100
7,1983,35,1,2,4,3,100
1,1946,72,2,5,3,3,0
1,1966,52,2,2,4,3,2
7,1948,70,2,3,5,2,98
3,1970,48,2,6,10,3,0
5,1963,55,1,2,5,2,93
7,1957,61,1,5,9,1,66
4,1958,60,1,3,6,4,100
5,1954,64,2,4,NA,1,70
7,1996,22,2,4,8,1,79
7,1953,65,1,2,7,1,97
6,1966,52,1,4,1,4,99
6,1952,66,1,3,3,2,80
3,1946,72,1,3,3,4,4
7,1953,65,1,3,8,3,100
5,1931,87,1,5,5,1,100
3,1961,57,2,3,NA,2,0
5,1950,68,1,3,7,3,100
2,1964,54,2,4,9,2,2
5,1943,75,1,3,NA,2,100
6,1948,70,1,6,7,4,97
1,1947,71,2,5,NA,4,0
3,1943,75,1,5,10,2,1
5,1942,76,1,5,16,3,80
1,1953,65,1,4,3,3,1
7,1957,61,1,5,4,3,96
3,1962,56,2,5,6,2,0
4,1970,48,1,5,4,1,52
1,1947,71,2,6,4,2,0
3,1961,57,2,3,8,2,9
3,1947,71,2,2,3,3,1
7,1974,44,1,6,5,3,96
7,1946,72,2,4,6,3,99
5,1940,78,1,3,NA,4,84
7,1939,79,2,4,NA,3,100
1,1955,63,1,3,10,4,0
1,1948,70,1,6,3,4,2
3,1995,23,2,2,1,2,42
3,1945,73,1,5,NA,3,0
3,1948,70,2,3,5,2,9
1,1956,62,2,4,3,3,3
7,1949,69,1,5,3,3,100
5,1947,71,1,3,8,4,100
5,1963,55,2,3,2,2,41
2,1964,54,2,5,10,1,2
6,1936,82,1,3,4,2,80
1,1989,29,2,2,4,3,15
7,1979,39,1,6,5,3,88
4,1966,52,1,4,9,4,8
6,1969,49,1,5,10,1,74
2,1995,23,2,4,4,1,12
6,1967,51,2,5,9,2,61
5,1965,53,2,5,11,3,95
1,1944,74,2,2,2,3,16
3,1945,73,2,6,8,1,1
6,1958,60,2,2,3,1,9
1,1959,59,2,5,10,3,0
4,1968,50,2,4,3,3,7
4,1987,31,2,2,3,3,31
1,1958,60,1,2,3,3,10
6,1972,46,2,3,NA,2,100
4,1996,22,2,2,NA,3,84
5,1990,28,2,2,2,4,40
6,1981,37,2,3,3,2,35
1,1973,45,2,4,5,3,1
1,1955,63,1,5,4,2,3
2,1965,53,1,3,NA,1,5
3,1990,28,2,5,6,2,0
1,1983,35,1,5,14,2,0
5,1938,80,1,5,14,4,79
1,1961,57,2,6,2,2,1
7,1961,57,2,3,10,2,100
7,1958,60,1,5,13,3,99
6,1957,61,1,4,7,3,67
7,1936,82,1,3,7,4,100
1,1954,64,1,5,13,4,0
1,1980,38,1,5,6,2,0
7,1962,56,1,6,NA,3,67
6,1977,41,2,1,6,1,1
2,1935,83,1,6,12,3,100
4,1974,44,1,3,11,3,4
2,1999,19,2,2,NA,3,6
1,1989,29,2,5,10,2,0
7,1958,60,1,6,12,1,92
7,1958,60,2,3,8,3,99
1,1986,32,2,6,7,3,1
3,1967,51,2,5,12,2,0
1,1989,29,2,5,12,1,0
NA,1976,42,1,2,5,2,60
4,1973,45,1,3,7,3,89
6,1972,46,2,4,4,1,96
6,1955,63,1,5,4,4,75
1,1991,27,2,6,3,3,1
1,1986,32,2,3,7,3,0
7,1979,39,2,2,2,3,100
4,1974,44,1,4,6,2,50
7,1994,24,2,3,4,2,50
1,1993,25,2,5,6,3,0
2,1990,28,2,3,3,2,31
1,1958,60,1,3,9,4,0
1,1995,23,1,5,NA,1,1
3,1990,28,2,5,9,4,10
3,1980,38,2,3,2,2,0
1,1978,40,1,5,13,4,2
6,1959,59,2,3,10,1,60
